Name,First Name,Last Name,Team,Number of Inj,inj22,Freq Inj,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days
S. Coleman,Séamus,Séamus,Everton,34,27.0,Hamstring,72.0,124.0,80.0,0.0,0.0,14.0,0.0,102.0,965.0
S. Rondón,José Salomón,José Salomón,Everton,9,24.0,Hamstring,0.0,0.0,33.0,0.0,0.0,0.0,0.0,14.0,92.0
T. Davies,Tom,Tom,Everton,5,67.0,Knock,18.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,96.0
Y. Mina,Yerry Fernando,Yerry Fernando,Everton,14,84.0,Knock,39.0,54.0,136.0,0.0,0.0,0.0,0.0,0.0,374.0
A. Forshaw,Adam,Adam,Leeds United,4,46.0,Knock,44.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,366.0
C. Cresswell,Charlie,Charlie,Leeds United,1,2.0,Shoulder Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
D. James,Daniel,Daniel,Leeds United,6,19.0,Knock,22.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
Diego Llorente,Diego Javier,Diego Javier,Leeds United,12,34.0,Groin/Pelvis Injury,126.0,36.0,112.0,0.0,0.0,19.0,0.0,160.0,331.0
I. Meslier,Illan,Illan,Leeds United,1,0.0,Illness,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
J. Shackleton,Jamie,Jamie,Leeds United,5,45.0,Knock,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
Junior Firpo,Héctor Junior,Héctor Junior,Leeds United,11,18.0,Hamstring,15.0,33.0,83.0,12.0,0.0,3.0,7.0,22.0,186.0
K. Phillips,Kalvin,Kalvin,Leeds United,5,42.0,Calf/Shin Injury,69.0,0.0,0.0,0.0,10.0,28.0,23.0,94.0,111.0
L. Ayling,Luke,Luke,Leeds United,1,77.0,Knee Injury,0.0,0.0,0.0,0.0,0.0,0.0,14.0,40.0,77.0
L. Cooper,Liam,Liam,Leeds United,8,25.0,Groin/Pelvis Injury,106.0,11.0,0.0,0.0,21.0,0.0,0.0,98.0,167.0
M. Klich,Mateusz Andrzej,Mateusz Andrzej,Leeds United,4,17.0,Broken Toe,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,45.0
P. Bamford,Patrick,Patrick,Leeds United,7,102.0,Ankle/Foot Injury,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0
P. Struijk,Pascal,Pascal,Leeds United,2,32.0,Knock,4.0,0.0,0.0,31.0,0.0,0.0,0.0,31.0,36.0
